Análise por Via de Administração,VO,IM,IV,SC,Total,Item,Soma de QT_APROVADA,Soma de QT_GLOSATOTAL,Soma de VL_GLOSADO,Soma de VL_APROVADO,VL_UNITÁRIO,QT_MÉDIA_MENSAL,VL_MÉDIO_MENSAL,% GLOSA,%VL APROVADO
Valor Aprovado,153692747.1100001,7455223.100000002,502227797.08000064,199707844.30000076,863083611.5900015,Totais,36261864.0,5434108.0,20412003.049999982,873029170.6200019,24.075683771247995,3021822.0,72752430.88500023,0.1303269294213839,0.8696730705786161
% Valor total,0.17604537429242098,0.008539489115473087,0.5752703506153545,0.22875277369961602,0.9886079877228645,VO,2858065.0,250783.0,256657.68000000002,153692747.1100001,53.77510557317629,238172.08333333334,12807728.92583334,0.08066750127378373,0.9193324987262163
Quantidade total,2858065,154779,32644485,594138,36251467,IM,154779.0,9770.0,203752.81,7455223.100000002,48.166890211204375,12898.25,621268.5916666667,0.05937441126959143,0.9406255887304086
% Quantidade total,0.07881737684527193,0.00426836855380628,0.900242883267115,0.016384651379201025,0.9997132800453942,IV,32644485.0,5056980.0,25819.147590822184,502227797.08000064,15.384767046562402,2720373.75,41852316.423333384,0.1341321882319427,0.8658678117680573
Glosa Total,250783,9770,5056980,116456,5433989,SC,594138.0,116456.0,6261014.699999998,199707844.30000076,336.13040118625764,49511.5,16642320.358333396,0.16388542543280693,0.8361145745671931
% Glosa Total,0.046149800482434285,0.0017979031701247012,0.9305998334961322,0.021430564133064708,0.9999781012817558,,,,,,,,,,
VL_Unitário médio (VUM),53.77510557317629,48.166890211204375,15.384767046562402,336.13040118625764,113.36429100430018,,,,,,,,,,
Desvio Padrão,901.075761199128,1431.782180902904,10915.605197562927,12129.97361,,,,,,,,,,,
Quantidade média mensal (QMM),238172.08333333334,12898.25,2720373.75,49511.5,755238.8958333334,,,,,,,,,,
%QMM,0.07881737684527194,0.00426836855380628,0.900242883267115,0.016384651379201025,0.9997132800453942,,,,,,,,,,
Valor médio mensal,12807728.92583334,621268.5916666667,41852316.423333384,16642320.358333396,71923634.29916678,,,,,,,,,,
%VMM,0.17604537429242081,0.008539489115473076,0.5752703506153539,0.2287527736996158,0.9886079877228636,,,,,,,,,,
Droga destaque VL_APROVADO,VERZENIOS (ABEMACICLIBE),SYNAGIS (PALIVIZUMABE),KEYTRUDA (PEMBROLIZUMABE),OPDIVO (NIVOLUMABE),Total,,,,,,,,,,
Via de administração,VO,IM,IV,SC,Todas,,,,,,,,,,
Fabricante,ELI LILLY DO BRASIL LTDA,ASTRAZENECA DO BRASIL LTDA,MERCK SHARP & DOHME FARMACEUTICA LTDA,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,,,,,,,,,,,
Tratamento finalidade,Câncer de mama avançado ou metastático com receptores hormonais positivos,Vírus Sincicial Respiratório (VSR),"Câncer de Mama Triplo Negativo (CMTN), Melanoma avançado ou metastático, Câncer de pulmão não pequenas células (CPNPC) avançado ou metastático, Carcinoma urotelial, Câncer gástrico avançado ou metastático, Câncer renal, Mesotelioma pleural maligno","Melanoma, câncer de pulmão de células não pequenas, carcinoma de células renais avançado, linfoma de Hodgkin clássico, carcinoma de células escamosas de cabeça e pescoço, carcinoma urotelial, carcinoma de células escamosas do esôfago, carcinoma hepatocelular, mesotelioma pleural maligno, e câncer gástrico e adenocarcinoma esofágico",,,,,,,,,,,
VL_APROVADO da droga destaque,16337119.470000083,3274745.790000003,104941375.64,36946711.04000004,161499951.94000012,,,,,,,,,,
VL_UNITÁRIO médio droga destaque,218.9877947114398,95.8705366239242,225.70076359585437,108.018369259826,162.1443660477611,,,,,,,,,,
Ratio VL_Unitário,3.0722894428062952,0.990382526327664,13.670405012488331,-0.6786414770023419,0.4302948892575933,,,,,,,,,,
z-score,0.1833504975412975,0.03331767013795155,0.01926746091881815,-0.01880564948124662,0.054282494779205145,,,,,,,,,,
% Valor droga destaque,0.10629727021736017,0.4392552370431412,0.20895174709591738,0.18500380478044096,0.18711970633120875,,,,,,,,,,
Quantidade da droga destaque,66960,34158,464958,342041,908117,,,,,,,,,,
% Quantidade droga destaque,0.023428438471483327,0.22068885313899173,0.014243079650360544,0.5756928525022806,0.025050489680872777,,,,,,,,,,
% Glosa da droga destaque,0.0008952551477170994,0.09047821919267228,0.14563231675832808,0.187188103000865,0.1060484735248956,,,,,,,,,,
QMM,5580,2846.5,38746.5,28503.416666666668,75676.41666666667,,,,,,,,,,
%QMM,0.0019523698726236108,0.018390737761582645,0.001186923304196712,0.04797440437519005,0.06950443531359302,,,,,,,,,,
VMM,1361426.6225000068,272895.4825000002,8745114.636666667,3078892.5866666697,13458329.328333344,,,,,,,,,,
%VMM,0.018713142721677768,0.0037510153156444506,0.12020374481355915,0.042320133488508105,0.18498803633938948,,,,,,,,,,
Droga destaque VL_UNITÁRIO,NINLARO (IXAZOMIBE),FASLODEX (FULVESTRANTO),BESPONSA (INOTUZUMABE OZOGAMICINA),ILARIS (CANAQUINUMABE),Total,,,,,,,,,,
Via de administração,VO,IM,IV,SC,Todas,,,,,,,,,,
Fabricante,TAKEDA PHARMA LTDA.,ASTRAZENECA DO BRASIL LTDA,PFIZER BRASIL LTDA,NOVARTIS BIOCIENCIAS S.A,,,,,,,,,,,
Tratamento finalidade,Mieloma Múltiplo,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,"Leucemia Linfoblástica Aguda (LLA) de células B precursoras, CD22 positivo","Doenças autoimunes (incluindo Doença de Still, Gota e Síndormes Febris Periódicas Autoinflamatórias) e outras doenças raras",,,,,,,,,,,
Valor Unitário,8558.625686274509,4588.824536423841,102159.30833333335,77168.334,48118.77313900793,,,,,,,,,,
Valor Unitário Médio,7437.766781609195,3662.537418086503,102159.30833333335,77168.334,47606.986633257264,,,,,,,,,,
Ratio VL_Unitário,137.31245336167686,75.0384862304135,6639.289581515633,228.5785615572429,418.9469357723184,,,,,,,,,,
z-score,8.194640222271207,2.524385745320577,9.357605164127039,6.33407838047339,6.602677378048053,,,,,,,,,,
Valor Aprovado,647085.71,2794516.0500000017,612955.8500000001,771683.3400000001,4826240.950000002,,,,,,,,,,
% Valor total,0.0042102553449504775,0.3748400299382054,0.0012204737642236903,0.003864061237578524,0.005591857944225055,,,,,,,,,,
Quantidade da droga destaque,87,763,6,10,866,,,,,,,,,,
% Quantidade droga destaque,3.0440175433378877e-05,0.004929609313925016,1.837982740423076e-07,1.6831106577933072e-05,2.3888688421905794e-05,,,,,,,,,,
% Glosa da droga destaque,0,0.0927,0.25,0,0.3427,,,,,,,,,,
,,,"Avaliar Imjudo, Stelara, Skyrizi",,,,,,,,,,,,
Outlier Unitário,Valores,,,,,,,,,,,,,,
Produto,SPINRAZA,,,,,,,,,,,,,,
Princípio Ativo,NUSINERSENA,,,,,,,,,,,,,,
Via,Intratecal,,,,,,,,,,,,,,
Fabricante,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,,,,,,,,,,,,,,
Finalidade,"AME (Atrofia Muscular Espinhal - causada pela deleção ou mutação do gene SMN1, do cromossomo 5q)",,,,,,,,,,,,,,
Valor aprovado,9776446.78,,,,,,,,,,,,,,
Valor  unitário,425062.9,,,,,,,,,,,,,,
Taxa de glosa,0.08,,,,,,,,,,,,,,
Ratio VL_Unitário,7904.454960512933,,,,,,,,,,,,,,
z-score,471.66858015227916,,,,,,,,,,,,,,
Valor médio mensal,814703.8983333333,,,,,,,,,,,,,,
