Princípio Ativo,Nome Comercial,Apresentação Comercial,Fabricante,Finalidade de Uso,Classe Terapêutica,Mecanismo de Ação,Via de Administração,Forma Farmacêutica,Soma de QT_APROVADA,Soma de QT_GLOSATOTAL,Soma de VL_GLOSADO,Soma de VL_APROVADO,VL_UNITÁRIO,QT_MÉDIA_MENSAL,VL_MÉDIO_MENSAL,% GLOSA,%VL APROVADO,Unnamed: 19
FULVESTRANTO,FASLODEX,FASLODEX RESTRITO HOSP 50 MGML SOL INJ CT 2 SE,ASTRAZENECA DO BRASIL LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,302.0,36.0,21553.95,1385825.01,4588.824536423841,25.166666666666668,115485.4175,0.10650887573964497,0.893491124260355,
FULVESTRANTO,FASLODEX,FASLODEX 50 MGML SOL INJ CT 2 SER VD INC PREENCH DESCART X 5 ML 2 AGULHAS,ASTRAZENECA DO BRASIL LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,363.0,36.0,90163.34999999998,1321725.040000002,3641.1158126721816,30.25,110143.75333333349,0.09022556390977443,0.9097744360902256,1475.8472911849715
TRIPTORRELINA,NEO DECAPEPTYL,NEO DECAPEPTYL LP 225 MG PO LIOF SUS INJ LIB PROL CT FA VD TRANS SOL DIL X 2 ML,ACHE LABORATORIOS FARMACEUTICOS S.A,"Neoplasia maligna da próstata (câncer de próstata) hormônio-dependente avançado, Puberdade precoce central (PPC), Endometriose, Leiomioma (mioma) do útero sintomático, Reprodução Assistida",L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Agonista do hormônio liberador de gonadotrofina (GnRH ou LHRH),IM,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,2.0,0.0,0.0,7039.3,3519.65,0.16666666666666666,586.6083333333333,0,1.0,1431.782180902904
NIRSEVIMABE,BEYFORTUS,BEYFORTUS 100 MGML SOL INJ IM CT SER PREENC VD TRANS X 05 ML 2 AGU,SANOFI MEDLEY FARMACEUTICA LTDA,Vírus Sincicial Respiratório (VSR),J6H9 - OUTRAS IMUNOGLOBULINAS ANTIVIRAIS,Anticorpo monoclonal ligante à proteína de fusão (proteína F) do vírus e impede a sua entrada nas células do trato respiratório,IM,SOLUCAO INJETAVEL,148.0,7.0,10267.87,458897.8500000002,3100.66114864865,12.333333333333334,38241.48750000002,0.04516129032258064,0.9548387096774194,
NIRSEVIMABE,BEYFORTUS,BEYFORTUS 100 MGML SOL INJ IM CT SER PREENC VD TRANS X 10 ML 2 AGU,SANOFI MEDLEY FARMACEUTICA LTDA,Vírus Sincicial Respiratório (VSR),J6H9 - OUTRAS IMUNOGLOBULINAS ANTIVIRAIS,Anticorpo monoclonal ligante à proteína de fusão (proteína F) do vírus e impede a sua entrada nas células do trato respiratório,IM,SOLUCAO INJETAVEL,58.0,6.0,3680.4,171387.7299999999,2954.9608620689637,4.833333333333333,14282.310833333324,0.09375,0.90625,
FULVESTRANTO,FASLODEX,FULVESTRANTO 50 MGML SOL INJ CT BL PLAS X 2 SER PREENCH VD TRANS AGU X 5 ML,ASTRAZENECA DO BRASIL LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,6.0,0.0,3.14,16516.56,2752.76,0.5,1376.38,0,1.0,
TRIPTORRELINA,NEO DECAPEPTYL,NEO DECAPEPTYL LP 1125 MG PO LIOF SUS INJ LIB PROL CT FA VD TRANS SOL DIL X 2 ML,ACHE LABORATORIOS FARMACEUTICOS S.A,"Neoplasia maligna da próstata (câncer de próstata) hormônio-dependente avançado, Puberdade precoce central (PPC), Endometriose, Leiomioma (mioma) do útero sintomático, Reprodução Assistida",L2A3 - ANÁLOGOS HORMONAIS DE LIBERAÇÃO DE GONADOTROFINAS CITOSTÁTICOS,Agonista do hormônio liberador de gonadotrofina (GnRH ou LHRH),IM,PO LIOFILIZADO PARA SOLUCAO INJETAVEL+SOLUCAO DILUENTE,36.0,0.0,0.0,61130.64000000004,1698.0733333333346,3,5094.220000000004,0,1.0,
FULVESTRANTO,POEMMY,POEMMY 50 MGML SOL INJ CT 2 SER VD INC PREENC DESCART X 5ML 2 AGULHA,LIBBS FARMACEUTICA LTDA ,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,316.0,6.0,1625.94,331271.4599999987,1048.327405063287,26.333333333333332,27605.95499999989,0.018633540372670808,0.9813664596273292,
FULVESTRANTO,SUPRENIQ,SUPRENIQ 50 MGML SOL INJ IM CT 2 SER PREENC VD TRANS DESCART X 5 ML 2 AGU,TEVA FARMACEUTICA LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,17.0,2.0,302.4,16269.9,957.0529411764705,1.4166666666666667,1355.825,0.10526315789473684,0.8947368421052632,
FULVESTRANTO,VEQUILE,VEQUILE 50 MGML SOL INJ CT BL PLAS X 2 SER PREENCH VD TRANS AGU X 5 ML,SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA,Câncer de mama avançado com receptores de estrogênio positivos e HER2-negativo,L2B9 - OUTROS CITOSTÁTICOS ANTAGONISTAS HORMONAIS,Bloqueador e degradador os receptores de estrogênio (RE),IM,SOLUCAO INJETAVEL,12.0,2.0,50.4,10151.3,845.9416666666666,1,845.9416666666666,0.14285714285714285,0.8571428571428572,
