Princípio Ativo,Nome Comercial,Apresentação Comercial,Fabricante,Finalidade de Uso,Classe Terapêutica,Mecanismo de Ação,Via de Administração,Forma Farmacêutica,Soma de QT_APROVADA,Soma de QT_GLOSATOTAL,Soma de VL_GLOSADO,Soma de VL_APROVADO,VL_UNITÁRIO,QT_MÉDIA_MENSAL,VL_MÉDIO_MENSAL,% GLOSA,%VL APROVADO,Unnamed: 19
TREMELIMUMABE,IMJUDO,IMJUDO RESTRITO HOSP 300 MG15 ML SOL DIL INFUS,ASTRAZENECA DO BRASIL LTDA,"Câncer hepatocelular avançado ou irressecável, câncer de pulmão não pequenas células metastático","L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS","Anticorpo monoclonal inibidor do ponto de controle imunológico CTLA-4, permitindo resposta acentuada dos Linf T contra células tumorais",IV,SOLUCAO PARA DILUICAO PARA INFUSAO,2.0,0.0,0.0,311620.8,155810.4,0.16666666666666666,25968.399999999998,0,1.0,
RISANQUIZUMABE,SKYRIZI,SKYRIZI 60 MGML MG SOL DIL INFUS CT FA VD TRANS X 10 ML,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,16.0,0.0,0.0,1648760.71,103047.544375,1.3333333333333333,137396.72583333333,0,1.0,
INOTUZUMABE OZOGAMICINA,BESPONSA,BESPONSA 1 MG PO LIOF SOL INJ CT FA VD AMB,PFIZER BRASIL LTDA,"Leucemia Linfoblástica Aguda (LLA) de células B precursoras, CD22 positivo","L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS","Conjugado de anticorpo-medicamento direcionado ao receptor CD22, que é altamente expresso em células de leucemia linfoblástica aguda (LLA). Inotuzumabe é um anticorpo ligante ao CD22 e a ogamicina é um agente citotóxico",IV,PO LIOFILIZADO PARA SOLUCAO INJETAVEL,6.0,2.0,94065.68,612955.8500000001,102159.30833333335,0.5,51079.654166666674,0.25,0.75,
RISANQUIZUMABE,SKYRIZI,SKYRIZI 150 MGML SOL INJ CARP PLAS TRANS X 24 ML DISP AUTOINJ,ABBVIE FARMACEUTICA LTDA.,"Psoríase em placas moderada a grave, Artrite psoriásica ativa, Doença de Crohn, Retocolite Ulcerativa",L4C - INIBIDORES DA INTERLEUCINA,Anticorpo monoclonal que age bloqueando a IL-23,IV/SC,SOLUCAO INJETAVEL,11.0,0.0,0.0,663804.88,60345.898181818186,0.9166666666666666,55317.073333333334,0,1.0,
NIVOLUMABE;RELATLIMABE,OPDUALAG,OPDUALAG 12 MGML 4 MGML SOL INJ CT 1 FA VD TRANS X 20 ML,BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA,Melanoma avançado,"L1G9 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, OUTROS","Inibidor do checkpoint imunológico do PD-1, receptor de morte programada, (Nivolumabe) e do LAG-3 (Relatlimabe)",IV,SOLUCAO INJETAVEL,28.0,0.0,0.0,1157920.24,41354.294285714284,2.3333333333333335,96493.35333333333,0,1.0,10926.055755435304
USTEQUINUMABE,STELARA,STELARA 90 MG SOL INJ 1 SER PREENCH VD TRANS,JANSSEN-CILAG FARMACEUTICA LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-26",IV/SC,SOLUCAO INJETAVEL,1.0,0.0,0.0,40052.89,40052.89,0.08333333333333333,3337.7408333333333,0,1.0,10915.605197562927
USTEQUINUMABE,STELARA,STELARA 130 MG SOL INJ INFUS IV CT X 1 FA VD TRANS X 26 ML,JANSSEN-CILAG FARMACEUTICA LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-23",IV/SC,SOLUCAO INJETAVEL,83.0,3.0,84283.5,3114376.15,37522.60421686747,6.916666666666667,259531.34583333333,0.03488372093023256,0.9651162790697675,
DOSTARLIMABE,JEMPERLI,JEMPERLI RESTRITO HOSP 50 MGML SOL DIL INFUS I,GLAXOSMITHKLINE BRASIL LTDA,"Câncer de endométrio recorrente ou avançado, Tumores sólidos recorrentes ou avançados com dMMR","L1G5 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, PD-1/PD-L1","Anticorpo monoclonal que se liga ao receptor de morte programada 1 (PD-1), bloqueando a interação com seus ligantes PD-L1 e PD-L2",IV,SOLUCAO PARA DILUICAO PARA INFUSAO,16.0,4.0,48.12,570804.12,35675.2575,1.3333333333333333,47567.01,0.2,0.8,
USTEQUINUMABE,STELARA,STELARA 90 MG SOL INJ CT 1 SER PREENC VD TRANS DISP SEGURANCA X 1 ML,JANSSEN-CILAG FARMACEUTICA LTDA,"Doenças autoimunes (Crohn, Atrite Psoriásica, Psoríase, RCU)",L4C - INIBIDORES DA INTERLEUCINA,"Anticorpo monoclonal imunossupressor que age bloqueando a subunidade proteica p40, compartilhada pelas citocinas IL-12 e IL-27",IV/SC,SOLUCAO INJETAVEL,776.0,3.0,20672.45,26061207.2599999,33584.02997422668,64.66666666666667,2171767.2716666586,0.0038510911424903724,0.9961489088575096,
OBINUTUZUMABE,GAZYVA,GAZYVA RESTRITO HOSP 1000 MG SOL DIL INFUS IV,PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.,"Leucemia linfocítica crônica (LLC), linfoma folicular","L1G1 - ANTICORPOS MONOCLONAIS ANTINEOPLÁSICOS, CD21",Anticorpo monoclonal da classe dos IgG1 ligante do CD20,IV,SOLUCAO INJETAVEL,11.0,2.0,4410.25,344092.78,31281.16181818182,0.9166666666666666,28674.398333333334,0.15384615384615385,0.8461538461538461,
